Person,Sentence
MS,Hogwarts students buy school supplies at Diagon Alley.
MS,Ollivanders is the best wand shop in Britain.
MS,Flourish and Blotts is a bookstore.
MS,Gringots is the wizarding bank.
MS,Gringots is run by goblins.
MS,The Leakey Cauldron is a wizarding pub.
MS,The Daily Prophet is a wizarding newspaper.
MS,Fred and George opened a joke shop in Diagon Alley.
MS,Norbert was Hagrid's baby dragon.
MS,Fluffy was Hagrid's three-headed dog.
MS,Music made Fluffy fall asleep.
MS,Madam Maxime was headmistress of Beauxbatons.
MS,The Triwizard Tournament happened in Harry's fourth year.
MS,Cedric Digory was killed by Voldemort.
MS,The Knight Bus is a form of magical public transportation.
MS,Wizards can apparate long distances.
MS,Wizards can travel using the Floo network.
MS,Wizards can travel by portkey.
MS,Mermaids live in the Hogwarts lake.
MS,First year students take boats across the Hogwarts lake.
MS,Most students take carriages from the train to Hogwarts.
MS,Hermione uses a time turner to attend her classes.
MS,Harry marries Ginny.
MS,Ron marries Hermione.
MS,Snape was in love with Lily Potter.
MS,LIly and James Potter were Harry's parents.
MS,Harry was raised by the Dursley family.
MS,Earning the most house points earns the house cup.
MS,Quirrel tried to make Harry fall off his broom.
MS,Hermione set Snape's robes on fire.
MS,Professor McGonagall is an animagus.
MS,Professor McGonagall can turn into a cat.
MS,Animagi are required to register by the Ministry of Magic.
MS,James Potter was an unregistered animagus.
MS,Peter Pettigrew was an unregistered animagus.
MS,Sirius Black was an unregistered animagus.
MS,Rita Skeeter was an unregistered animagus.
AT,Sirius Black is my favorite character.
AT,What Hogwarts House are you in?
AT,My Hogwarts House is Hufflepuff.
AT,Hogwarts is located in a castle in Scotland.
AT,Draco Malfoy's best subject is potions.
AT,Hermione Granger becomes the Minister for Magic.
AT,The Great Hall has an enchanted ceiling.
AT,Hogwarts has four Houses.
AT,"The four Houses are Gryffindor, Ravenclaw, Slytherin, and Hufflepuff."
AT,My favorite Harry Potter book is the Goblet of Fire.
AT,Sirius Black escapes in the Prisoner of Azkaban.
AT,Dementors guard Azkaban.
AT,Harry Potter's best friends are Hermione Granger and Ron Weasley.
AT,Harry Potter is a Gryffindor.
AT,There are seven Harry Potter books.
AT,Who is your favorite character?
AT,My Hogwarts House is Gryffindor.
AT,My Hogwarts House is Ravenclaw.
AT,My Hogwarts House is Slytherin.
AT,My favorite character is Ron Weasley.
AT,The staircases in Hogwarts move.
AT,The Malfoy family is Pureblood.
AT,Snape is a spy for the Order of the Phoenix.
AT,The Order of the Phoenix is led by Albus Dumbledore.
AT,Harry defeats Voldemort.
